"UnitName"	"VoteName"	"AppropriationID"	"ParentAppropriationID"	"Description"	"Revenue Type"	"FunctionalClassification"	"Amount $(000)"	"Year"	"AmountType"	"Periodicity"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	" 3,835 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	" 2,348 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	" 27 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	" 2,112 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	" 830 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	" 761 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	" 899 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	" 830 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	" 830 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	" 830 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	" 843 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	" 1,198 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	" 1,964 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	" 3,264 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	" 2,472 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	" 9,250 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9326	9326	"Levy on Regulated Airports"	"Non-Tax Revenue"	"No Functional Classification"	" 2,077 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9326	9326	"Levy on Regulated Airports"	"Non-Tax Revenue"	"No Functional Classification"	" 1,319 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9570	9570	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	" 3,372 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9570	9570	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	" 1,439 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9571	9571	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 6,833 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9571	9571	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 4,996 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9591	9591	"Financial Advisers Act (FAA) Fees and Charges"	"Non-Tax Revenue"	"No Functional Classification"	" 1,300 "	2010	"Estimated Actual"	"A"
