"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Appropriation Type"	"Output Expense Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"	"Curr_Mains_Scope"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	5992	2007	"Actuals"	"A"	"This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"	"Permanent Legislative Authority"	"Core Government Services"	677	2007	"Actuals"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2095	2007	"Actuals"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2315	2008	"Actuals"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6223	2008	"Actuals"	"A"	"This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2457	2009	"Actuals"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6159	2009	"Actuals"	"A"	"This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2342	2010	"Actuals"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6044	2010	"Actuals"	"A"	"This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2310	2011	"Estimated Actual"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
