"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Appropriation Type"	"Output Expense Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"	"Permanent Legislative Authority"	"Core Government Services"	677	2007	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2,095	2007	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	5,992	2007	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2,315	2008	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6,223	2008	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2,457	2009	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6,159	2009	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2,342	2010	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6,044	2010	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2,310	2011	"Estimated Actual"	"A"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6,237	2011	"Estimated Actual"	"A"
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2,860	2012	"Main Estimates"	"A"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6,587	2012	"Main Estimates"	"A"
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2008	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2009	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2010	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2011	"Estimated Actual"	"A"
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2012	"Main Estimates"	"A"
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	58,581	2007	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	58,474	2008	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	60,452	2009	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	62,587	2010	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	64,797	2011	"Estimated Actual"	"A"
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	71,451	2012	"Main Estimates"	"A"
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	699	2008	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	716	2009	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	662	2010	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	803	2011	"Estimated Actual"	"A"
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	803	2012	"Main Estimates"	"A"
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	779	2008	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	1,511	2009	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	922	2010	"Actuals"	"A"
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	1,045	2011	"Estimated Actual"	"A"
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	1,800	2012	"Main Estimates"	"A"
