"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Revenue Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	2,348	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	27	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	2,112	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1318	1318	"Commerce Act 1986 Penalty"	"Non-Tax Revenue"	"No Functional Classification"	6,065	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	761	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	899	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	830	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	830	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	830	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	1481	1481	"Accounting Standards Review Board"	"Non-Tax Revenue"	"No Functional Classification"	830	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	1,198	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	1,964	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	3,264	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	1,294	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	9,250	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	4008	4008	"Proceeds of Crime"	"Non-Tax Revenue"	"No Functional Classification"	9,250	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9326	9326	"Levy on Regulated Airports"	"Non-Tax Revenue"	"No Functional Classification"	1,242	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9326	9326	"Levy on Regulated Airports"	"Non-Tax Revenue"	"No Functional Classification"	1,319	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9326	9326	"Levy on Regulated Airports"	"Non-Tax Revenue"	"No Functional Classification"	400	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9570	9570	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	3,246	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9570	9570	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	1,439	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9570	9570	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	1,300	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9571	9571	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	6,778	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9571	9571	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	7,327	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9571	9571	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	4,522	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9591	9591	"Financial Advisers Act (FAA) Fees and Charges"	"Non-Tax Revenue"	"No Functional Classification"	6,091	2011	"Estimated Actual"	"A"
