Department	vote	App id	MCOA id	Description	Revenue Type	Functional Classification	Amount ($000)	Year	Amount_Type_Desc	Periodicity
Ministry of Economic Development	Commerce	1318	1318	Commerce Act 1986 Penalty	Non-Tax Revenue	No Functional Classification	27	2008	Actuals	A
Ministry of Economic Development	Commerce	1318	1318	Commerce Act 1986 Penalty	Non-Tax Revenue	No Functional Classification	2112	2009	Actuals	A
Ministry of Economic Development	Commerce	1318	1318	Commerce Act 1986 Penalty	Non-Tax Revenue	No Functional Classification	6065	2010	Actuals	A
Ministry of Economic Development	Commerce	1318	1318	Commerce Act 1986 Penalty	Non-Tax Revenue	No Functional Classification	17799	2011	Actuals	A
Ministry of Economic Development	Commerce	1481	1481	Accounting Standards Review Board	Non-Tax Revenue	No Functional Classification	899	2008	Actuals	A
Ministry of Economic Development	Commerce	1481	1481	Accounting Standards Review Board	Non-Tax Revenue	No Functional Classification	830	2009	Actuals	A
Ministry of Economic Development	Commerce	1481	1481	Accounting Standards Review Board	Non-Tax Revenue	No Functional Classification	830	2010	Actuals	A
Ministry of Economic Development	Commerce	1481	1481	Accounting Standards Review Board	Non-Tax Revenue	No Functional Classification	830	2011	Actuals	A
Ministry of Economic Development	Commerce	1481	1481	Accounting Standards Review Board	Non-Tax Revenue	No Functional Classification	830	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	1481	1481	Accounting Standards Review Board	Non-Tax Revenue	No Functional Classification	830	2013	Main Estimates	A
Ministry of Economic Development	Commerce	4008	4008	Proceeds of Crime	Non-Tax Revenue	No Functional Classification	1964	2008	Actuals	A
Ministry of Economic Development	Commerce	4008	4008	Proceeds of Crime	Non-Tax Revenue	No Functional Classification	3264	2009	Actuals	A
Ministry of Economic Development	Commerce	4008	4008	Proceeds of Crime	Non-Tax Revenue	No Functional Classification	1294	2010	Actuals	A
Ministry of Economic Development	Commerce	4008	4008	Proceeds of Crime	Non-Tax Revenue	No Functional Classification	1776	2011	Actuals	A
Ministry of Economic Development	Commerce	4008	4008	Proceeds of Crime	Non-Tax Revenue	No Functional Classification	2200	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	4008	4008	Proceeds of Crime	Non-Tax Revenue	No Functional Classification	2500	2013	Main Estimates	A
Ministry of Economic Development	Commerce	9326	9326	Levy on Regulated Airports	Non-Tax Revenue	No Functional Classification	1242	2010	Actuals	A
Ministry of Economic Development	Commerce	9326	9326	Levy on Regulated Airports	Non-Tax Revenue	No Functional Classification	886	2011	Actuals	A
Ministry of Economic Development	Commerce	9326	9326	Levy on Regulated Airports	Non-Tax Revenue	No Functional Classification	400	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	9326	9326	Levy on Regulated Airports	Non-Tax Revenue	No Functional Classification	1019	2013	Main Estimates	A
Ministry of Economic Development	Commerce	9570	9570	Control of Natural Gas Services	Non-Tax Revenue	No Functional Classification	3246	2010	Actuals	A
Ministry of Economic Development	Commerce	9570	9570	Control of Natural Gas Services	Non-Tax Revenue	No Functional Classification	98	2011	Actuals	A
Ministry of Economic Development	Commerce	9570	9570	Control of Natural Gas Services	Non-Tax Revenue	No Functional Classification	2900	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	9570	9570	Control of Natural Gas Services	Non-Tax Revenue	No Functional Classification	2156	2013	Main Estimates	A
Ministry of Economic Development	Commerce	9571	9571	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	6778	2010	Actuals	A
Ministry of Economic Development	Commerce	9571	9571	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	2939	2011	Actuals	A
Ministry of Economic Development	Commerce	9571	9571	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	5415	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	9571	9571	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	5744	2013	Main Estimates	A
Ministry of Economic Development	Commerce	9591	9591	Financial Advisers Act (FAA) Fees and Charges	Non-Tax Revenue	No Functional Classification	2252	2011	Actuals	A
Ministry of Economic Development	Commerce	9591	9591	Financial Advisers Act (FAA) Fees and Charges	Non-Tax Revenue	No Functional Classification	6518	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	9591	9591	Financial Advisers Act (FAA) Fees and Charges	Non-Tax Revenue	No Functional Classification	6225	2013	Main Estimates	A
Ministry of Economic Development	Commerce	10315	10315	Fees and levies on Regulation of Auditors	Non-Tax Revenue	No Functional Classification	400	2012	Estimated Actual	A
Ministry of Economic Development	Commerce	10315	10315	Fees and levies on Regulation of Auditors	Non-Tax Revenue	No Functional Classification	600	2013	Main Estimates	A
Ministry of Economic Development	Commerce	5894	5894	Return of Capital Invested	Capital Receipts	No Functional Classification	16	2008	Actuals	A
Ministry of Economic Development	Commerce	5894	5894	Return of Capital Invested	Capital Receipts	No Functional Classification	2	2009	Actuals	A
Ministry of Economic Development	Commerce	9594	9594	Securities Commission Return of Capital	Capital Receipts	No Functional Classification	2065	2009	Actuals	A
Ministry of Economic Development	Commerce	10306	10306	Statutory Management - Aorangi Securities loan repayment	Capital Receipts	No Functional Classification	927	2012	Estimated Actual	A
Ministry of Economic Development	Communications	83	83	Radio Spectrum	Non-Tax Revenue	No Functional Classification	378	2008	Actuals	A
Ministry of Economic Development	Communications	83	83	Radio Spectrum	Non-Tax Revenue	No Functional Classification	324	2009	Actuals	A
Ministry of Economic Development	Communications	83	83	Radio Spectrum	Non-Tax Revenue	No Functional Classification	352	2010	Actuals	A
Ministry of Economic Development	Communications	83	83	Radio Spectrum	Non-Tax Revenue	No Functional Classification	2855	2011	Actuals	A
Ministry of Economic Development	Communications	83	83	Radio Spectrum	Non-Tax Revenue	No Functional Classification	232	2012	Estimated Actual	A
Ministry of Economic Development	Communications	7595	7595	Telecommunications Levy	Non-Tax Revenue	No Functional Classification	6357	2008	Actuals	A
Ministry of Economic Development	Communications	7595	7595	Telecommunications Levy	Non-Tax Revenue	No Functional Classification	4713	2009	Actuals	A
Ministry of Economic Development	Communications	7595	7595	Telecommunications Levy	Non-Tax Revenue	No Functional Classification	6558	2010	Actuals	A
Ministry of Economic Development	Communications	7595	7595	Telecommunications Levy	Non-Tax Revenue	No Functional Classification	6040	2011	Actuals	A
Ministry of Economic Development	Communications	7595	7595	Telecommunications Levy	Non-Tax Revenue	No Functional Classification	7791	2012	Estimated Actual	A
