Department,Vote,App ID,MCOA ID,Description,Appropriation Type,Output Expense Type,Functional Classification,Amount ($000),Year,Amount_Type_Desc,Periodicity,Current Scope
Controller and Auditor-General,Audit,8943,8977,Supporting Accountability to Parliament,Departmental Output Expenses,,Core Government Services,"2,457",2009,Actuals,A,"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
Controller and Auditor-General,Audit,8946,8977,Performance Audits and Inquiries,Departmental Output Expenses,,Core Government Services,"6,159",2009,Actuals,A,This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968.
Controller and Auditor-General,Audit,8946,8977,Performance Audits and Inquiries,Departmental Output Expenses,,Core Government Services,"6,044",2010,Actuals,A,This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968.
Controller and Auditor-General,Audit,8943,8977,Supporting Accountability to Parliament,Departmental Output Expenses,,Core Government Services,"2,342",2010,Actuals,A,"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
Controller and Auditor-General,Audit,8943,8977,Supporting Accountability to Parliament,Departmental Output Expenses,,Core Government Services,"2,442",2011,Actuals,A,"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
Controller and Auditor-General,Audit,8946,8977,Performance Audits and Inquiries,Departmental Output Expenses,,Core Government Services,"5,991",2011,Actuals,A,This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968.
Controller and Auditor-General,Audit,8946,8977,Performance Audits and Inquiries,Departmental Output Expenses,,Core Government Services,"5,790",2012,Actuals,A,This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968.
Controller and Auditor-General,Audit,8943,8977,Supporting Accountability to Parliament,Departmental Output Expenses,,Core Government Services,"3,048",2012,Actuals,A,"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
Controller and Auditor-General,Audit,8946,8977,Performance Audits and Inquiries,Departmental Output Expenses,,Core Government Services,"6,587",2013,Estimated Actual,A,This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968.
Controller and Auditor-General,Audit,8943,8977,Supporting Accountability to Parliament,Departmental Output Expenses,,Core Government Services,"2,685",2013,Estimated Actual,A,"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
Controller and Auditor-General,Audit,8946,8977,Performance Audits and Inquiries,Departmental Output Expenses,,Core Government Services,"6,587",2014,Main Estimates,A,This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968.
Controller and Auditor-General,Audit,8943,8977,Supporting Accountability to Parliament,Departmental Output Expenses,,Core Government Services,"2,735",2014,Main Estimates,A,"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Departmental Output Expenses,,Core Government Services,150,2009,Actuals,A,This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards.
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Departmental Output Expenses,,Core Government Services,150,2010,Actuals,A,This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards.
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Departmental Output Expenses,,Core Government Services,150,2011,Actuals,A,This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards.
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Departmental Output Expenses,,Core Government Services,150,2012,Actuals,A,This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards.
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Departmental Output Expenses,,Core Government Services,150,2013,Estimated Actual,A,This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards.
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Departmental Output Expenses,,Core Government Services,150,2014,Main Estimates,A,This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards.
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Departmental Output Expenses,Revenue Dependent,Core Government Services,"60,452",2009,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Departmental Output Expenses,Revenue Dependent,Core Government Services,"62,587",2010,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Departmental Output Expenses,Revenue Dependent,Core Government Services,"64,893",2011,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Departmental Output Expenses,Revenue Dependent,Core Government Services,"70,578",2012,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Departmental Output Expenses,Revenue Dependent,Core Government Services,"68,207",2013,Estimated Actual,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Departmental Output Expenses,Revenue Dependent,Core Government Services,"68,114",2014,Main Estimates,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.
Controller and Auditor-General,Audit,9363,9363,Remuneration of Auditor-General and Deputy Auditor-General,Departmental Other Expenses,Permanent Legislative Authority,Core Government Services,716,2009,Actuals,A,This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.
Controller and Auditor-General,Audit,9363,9363,Remuneration of Auditor-General and Deputy Auditor-General,Departmental Other Expenses,Permanent Legislative Authority,Core Government Services,662,2010,Actuals,A,This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.
Controller and Auditor-General,Audit,9363,9363,Remuneration of Auditor-General and Deputy Auditor-General,Departmental Other Expenses,Permanent Legislative Authority,Core Government Services,803,2011,Actuals,A,This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.
Controller and Auditor-General,Audit,9363,9363,Remuneration of Auditor-General and Deputy Auditor-General,Departmental Other Expenses,Permanent Legislative Authority,Core Government Services,848,2012,Actuals,A,This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.
Controller and Auditor-General,Audit,9363,9363,Remuneration of Auditor-General and Deputy Auditor-General,Departmental Other Expenses,Permanent Legislative Authority,Core Government Services,883,2013,Estimated Actual,A,This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.
Controller and Auditor-General,Audit,9363,9363,Remuneration of Auditor-General and Deputy Auditor-General,Departmental Other Expenses,Permanent Legislative Authority,Core Government Services,883,2014,Main Estimates,A,This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.
Controller and Auditor-General,Audit,9202,9202,Controller and Auditor-General - Capital Expenditure,Departmental Capital Expenditure,Permanent Legislative Authority,No Functional Classification,"1,511",2009,Actuals,A,"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
Controller and Auditor-General,Audit,9202,9202,Controller and Auditor-General - Capital Expenditure,Departmental Capital Expenditure,Permanent Legislative Authority,No Functional Classification,922,2010,Actuals,A,"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
Controller and Auditor-General,Audit,9202,9202,Controller and Auditor-General - Capital Expenditure,Departmental Capital Expenditure,Permanent Legislative Authority,No Functional Classification,852,2011,Actuals,A,"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
Controller and Auditor-General,Audit,9202,9202,Controller and Auditor-General - Capital Expenditure,Departmental Capital Expenditure,Permanent Legislative Authority,No Functional Classification,"1,154",2012,Actuals,A,"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
Controller and Auditor-General,Audit,9202,9202,Controller and Auditor-General - Capital Expenditure,Departmental Capital Expenditure,Permanent Legislative Authority,No Functional Classification,"4,419",2013,Estimated Actual,A,"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
Controller and Auditor-General,Audit,9202,9202,Controller and Auditor-General - Capital Expenditure,Departmental Capital Expenditure,Permanent Legislative Authority,No Functional Classification,817,2014,Main Estimates,A,"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
Department of Conservation,Conservation,7733,7733,Management of Natural Heritage,Departmental Output Expenses,,Environmental Protection,"158,690",2009,Actuals,A,"This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
