Department,Vote,App id,MCOA id,Description,Revenue Type,Functional Classification,Amount ($000),Year,Amount_Type_Desc,Periodicity
Department of Conservation,Conservation,1243,1243,Turnbull House Revenue,Non-Tax Revenue,No Functional Classification,176,2009,Actuals,A
Department of Conservation,Conservation,1243,1243,Turnbull House Revenue,Non-Tax Revenue,No Functional Classification,173,2010,Actuals,A
Department of Conservation,Conservation,1243,1243,Turnbull House Revenue,Non-Tax Revenue,No Functional Classification,168,2011,Actuals,A
Department of Conservation,Conservation,1243,1243,Turnbull House Revenue,Non-Tax Revenue,No Functional Classification,82,2012,Actuals,A
Department of Conservation,Conservation,1243,1243,Turnbull House Revenue,Non-Tax Revenue,No Functional Classification,200,2013,Estimated Actual,A
Department of Conservation,Conservation,1243,1243,Turnbull House Revenue,Non-Tax Revenue,No Functional Classification,200,2014,Main Estimates,A
Department of Conservation,Conservation,1247,1247,Disposal of Reserves,Non-Tax Revenue,No Functional Classification,3302,2009,Actuals,A
Department of Conservation,Conservation,1247,1247,Disposal of Reserves,Non-Tax Revenue,No Functional Classification,8327,2010,Actuals,A
Department of Conservation,Conservation,1247,1247,Disposal of Reserves,Non-Tax Revenue,No Functional Classification,278,2011,Actuals,A
Department of Conservation,Conservation,1247,1247,Disposal of Reserves,Non-Tax Revenue,No Functional Classification,2805,2012,Actuals,A
Department of Conservation,Conservation,3295,3295,Old Government Building Rental,Non-Tax Revenue,No Functional Classification,1776,2009,Actuals,A
Department of Conservation,Conservation,3295,3295,Old Government Building Rental,Non-Tax Revenue,No Functional Classification,1793,2010,Actuals,A
Department of Conservation,Conservation,3295,3295,Old Government Building Rental,Non-Tax Revenue,No Functional Classification,1985,2011,Actuals,A
Department of Conservation,Conservation,3295,3295,Old Government Building Rental,Non-Tax Revenue,No Functional Classification,2177,2012,Actuals,A
Department of Conservation,Conservation,3295,3295,Old Government Building Rental,Non-Tax Revenue,No Functional Classification,2161,2013,Estimated Actual,A
Department of Conservation,Conservation,3295,3295,Old Government Building Rental,Non-Tax Revenue,No Functional Classification,2161,2014,Main Estimates,A
Department of Conservation,Conservation,4071,4071,"Concessions, Leases and Licences",Non-Tax Revenue,No Functional Classification,13564,2009,Actuals,A
Department of Conservation,Conservation,4071,4071,"Concessions, Leases and Licences",Non-Tax Revenue,No Functional Classification,13390,2010,Actuals,A
Department of Conservation,Conservation,4071,4071,"Concessions, Leases and Licences",Non-Tax Revenue,No Functional Classification,13835,2011,Actuals,A
Department of Conservation,Conservation,4071,4071,"Concessions, Leases and Licences",Non-Tax Revenue,No Functional Classification,13799,2012,Actuals,A
Department of Conservation,Conservation,4071,4071,"Concessions, Leases and Licences",Non-Tax Revenue,No Functional Classification,13500,2013,Estimated Actual,A
Department of Conservation,Conservation,4071,4071,"Concessions, Leases and Licences",Non-Tax Revenue,No Functional Classification,13800,2014,Main Estimates,A
Department of Conservation,Conservation,8617,8617,Rates Recovery from Concessionaires,Non-Tax Revenue,No Functional Classification,486,2009,Actuals,A
Department of Conservation,Conservation,8617,8617,Rates Recovery from Concessionaires,Non-Tax Revenue,No Functional Classification,519,2010,Actuals,A
Department of Conservation,Conservation,8617,8617,Rates Recovery from Concessionaires,Non-Tax Revenue,No Functional Classification,539,2011,Actuals,A
Department of Conservation,Conservation,8617,8617,Rates Recovery from Concessionaires,Non-Tax Revenue,No Functional Classification,515,2012,Actuals,A
Department of Conservation,Conservation,8617,8617,Rates Recovery from Concessionaires,Non-Tax Revenue,No Functional Classification,964,2013,Estimated Actual,A
Department of Conservation,Conservation,8617,8617,Rates Recovery from Concessionaires,Non-Tax Revenue,No Functional Classification,964,2014,Main Estimates,A
Department of Conservation,Conservation,9186,9186,Revenue for Land Purchases,Non-Tax Revenue,No Functional Classification,421,2009,Actuals,A
Department of Conservation,Conservation,9186,9186,Revenue for Land Purchases,Non-Tax Revenue,No Functional Classification,159,2010,Actuals,A
Department of Conservation,Conservation,9186,9186,Revenue for Land Purchases,Non-Tax Revenue,No Functional Classification,22,2011,Actuals,A
Department of Conservation,Conservation,9186,9186,Revenue for Land Purchases,Non-Tax Revenue,No Functional Classification,22,2012,Actuals,A
Department of Conservation,Conservation,9186,9186,Revenue for Land Purchases,Non-Tax Revenue,No Functional Classification,711,2013,Estimated Actual,A
Department of Conservation,Conservation,9186,9186,Revenue for Land Purchases,Non-Tax Revenue,No Functional Classification,547,2014,Main Estimates,A
Department of Conservation,Conservation,10130,10130,"Contributions for Crown Property, Plant and Equipment",Non-Tax Revenue,No Functional Classification,100,2012,Actuals,A
Department of Conservation,Conservation,10275,10275,Dominion Observatory Rental,Non-Tax Revenue,No Functional Classification,25,2013,Estimated Actual,A
Department of Conservation,Conservation,10275,10275,Dominion Observatory Rental,Non-Tax Revenue,No Functional Classification,25,2014,Main Estimates,A
Department of Conservation,Conservation,10336,10336,"Fines, Penalties and Levies",Non-Tax Revenue,No Functional Classification,2,2012,Actuals,A
Department of Conservation,Conservation,10053,10053,Disposal of Conservation Land,Capital Receipts,No Functional Classification,332,2011,Actuals,A
Department of Conservation,Conservation,10053,10053,Disposal of Conservation Land,Capital Receipts,No Functional Classification,3665,2012,Actuals,A
Department of Conservation,Conservation,10053,10053,Disposal of Conservation Land,Capital Receipts,No Functional Classification,4800,2013,Estimated Actual,A
Department of Conservation,Conservation,10053,10053,Disposal of Conservation Land,Capital Receipts,No Functional Classification,1300,2014,Main Estimates,A
Department of Conservation,Conservation,10054,10054,Disposal of Reserves,Capital Receipts,No Functional Classification,280,2011,Actuals,A
Department of Conservation,Conservation,10054,10054,Disposal of Reserves,Capital Receipts,No Functional Classification,648,2012,Actuals,A
Department of Conservation,Conservation,10054,10054,Disposal of Reserves,Capital Receipts,No Functional Classification,1800,2013,Estimated Actual,A
Department of Conservation,Conservation,10054,10054,Disposal of Reserves,Capital Receipts,No Functional Classification,1800,2014,Main Estimates,A
Ministry for Culture and Heritage,"Arts, Culture and Heritage",8731,8731,Broadcasting Standards Authority - Costs Awarded to Crown,Non-Tax Revenue,No Functional Classification,14,2009,Actuals,A
Ministry for Culture and Heritage,"Arts, Culture and Heritage",8731,8731,Broadcasting Standards Authority - Costs Awarded to Crown,Non-Tax Revenue,No Functional Classification,14,2011,Actuals,A
Ministry for Culture and Heritage,"Arts, Culture and Heritage",8731,8731,Broadcasting Standards Authority - Costs Awarded to Crown,Non-Tax Revenue,No Functional Classification,9,2012,Actuals,A
Ministry for Culture and Heritage,"Arts, Culture and Heritage",9597,9597,London Memorial - Return of funds,Non-Tax Revenue,No Functional Classification,196,2009,Actuals,A
Ministry for Culture and Heritage,"Arts, Culture and Heritage",10730,10730,Contribution to National War Memorial Park,Capital Receipts,No Functional Classification,5000,2013,Estimated Actual,A
New Zealand Customs Service,Customs,179,179,Customs Duty,Tax Revenue,No Functional Classification,1879811,2009,Actuals,A
New Zealand Customs Service,Customs,179,179,Customs Duty,Tax Revenue,No Functional Classification,1873112,2010,Actuals,A
New Zealand Customs Service,Customs,179,179,Customs Duty,Tax Revenue,No Functional Classification,1916354,2011,Actuals,A
New Zealand Customs Service,Customs,179,179,Customs Duty,Tax Revenue,No Functional Classification,2037636,2012,Actuals,A
New Zealand Customs Service,Customs,179,179,Customs Duty,Tax Revenue,No Functional Classification,2037000,2013,Estimated Actual,A
New Zealand Customs Service,Customs,179,179,Customs Duty,Tax Revenue,No Functional Classification,2141000,2014,Main Estimates,A
New Zealand Customs Service,Customs,180,180,Excise Duty,Tax Revenue,No Functional Classification,1604066,2009,Actuals,A
New Zealand Customs Service,Customs,180,180,Excise Duty,Tax Revenue,No Functional Classification,1654251,2010,Actuals,A
New Zealand Customs Service,Customs,180,180,Excise Duty,Tax Revenue,No Functional Classification,1760254,2011,Actuals,A
New Zealand Customs Service,Customs,180,180,Excise Duty,Tax Revenue,No Functional Classification,1781736,2012,Actuals,A
New Zealand Customs Service,Customs,180,180,Excise Duty,Tax Revenue,No Functional Classification,1898000,2013,Estimated Actual,A
New Zealand Customs Service,Customs,180,180,Excise Duty,Tax Revenue,No Functional Classification,1960000,2014,Main Estimates,A
New Zealand Customs Service,Customs,181,181,Goods and Services Tax,Tax Revenue,No Functional Classification,6056358,2009,Actuals,A
New Zealand Customs Service,Customs,181,181,Goods and Services Tax,Tax Revenue,No Functional Classification,5249363,2010,Actuals,A
New Zealand Customs Service,Customs,181,181,Goods and Services Tax,Tax Revenue,No Functional Classification,6886143,2011,Actuals,A
New Zealand Customs Service,Customs,181,181,Goods and Services Tax,Tax Revenue,No Functional Classification,7526654,2012,Actuals,A
New Zealand Customs Service,Customs,181,181,Goods and Services Tax,Tax Revenue,No Functional Classification,7372000,2013,Estimated Actual,A
New Zealand Customs Service,Customs,181,181,Goods and Services Tax,Tax Revenue,No Functional Classification,7537000,2014,Main Estimates,A
New Zealand Customs Service,Customs,182,182,Sale of Seized Goods,Non-Tax Revenue,No Functional Classification,80,2009,Actuals,A
New Zealand Customs Service,Customs,182,182,Sale of Seized Goods,Non-Tax Revenue,No Functional Classification,192,2010,Actuals,A
New Zealand Customs Service,Customs,182,182,Sale of Seized Goods,Non-Tax Revenue,No Functional Classification,92,2011,Actuals,A
New Zealand Customs Service,Customs,182,182,Sale of Seized Goods,Non-Tax Revenue,No Functional Classification,80,2013,Estimated Actual,A
New Zealand Customs Service,Customs,182,182,Sale of Seized Goods,Non-Tax Revenue,No Functional Classification,80,2014,Main Estimates,A
New Zealand Customs Service,Customs,8473,8473,Sale of Seized Goods,Non-Tax Revenue,No Functional Classification,30,2009,Actuals,A
Ministry of Defence,Defence,191,191,Crown Interest,Non-Tax Revenue,No Functional Classification,152,2009,Actuals,A
Ministry of Defence,Defence,191,191,Crown Interest,Non-Tax Revenue,No Functional Classification,251,2010,Actuals,A
Ministry of Defence,Defence,191,191,Crown Interest,Non-Tax Revenue,No Functional Classification,31,2011,Actuals,A
Ministry of Defence,Defence,191,191,Crown Interest,Non-Tax Revenue,No Functional Classification,455,2012,Actuals,A
Ministry of Defence,Defence,191,191,Crown Interest,Non-Tax Revenue,No Functional Classification,100,2013,Estimated Actual,A
Ministry of Defence,Defence,192,192,Defence Equipment,Capital Receipts,No Functional Classification,228583,2009,Actuals,A
Ministry of Defence,Defence,192,192,Defence Equipment,Capital Receipts,No Functional Classification,174118,2010,Actuals,A
Ministry of Defence,Defence,192,192,Defence Equipment,Capital Receipts,No Functional Classification,135797,2011,Actuals,A
Ministry of Defence,Defence,192,192,Defence Equipment,Capital Receipts,No Functional Classification,154331,2012,Actuals,A
Ministry of Defence,Defence,192,192,Defence Equipment,Capital Receipts,No Functional Classification,96613,2013,Estimated Actual,A
Ministry of Defence,Defence,192,192,Defence Equipment,Capital Receipts,No Functional Classification,219730,2014,Main Estimates,A
Ministry of Education ,Education,284,284,Charter Fees Early Childhood Education,Non-Tax Revenue,No Functional Classification,26,2009,Actuals,A
Ministry of Education ,Education,287,287,Miscellaneous Receipts,Non-Tax Revenue,No Functional Classification,1566,2009,Actuals,A
Ministry of Education ,Education,287,287,Miscellaneous Receipts,Non-Tax Revenue,No Functional Classification,1734,2010,Actuals,A
Ministry of Education ,Education,287,287,Miscellaneous Receipts,Non-Tax Revenue,No Functional Classification,23062,2011,Actuals,A
Ministry of Education ,Education,287,287,Miscellaneous Receipts,Non-Tax Revenue,No Functional Classification,477,2012,Actuals,A
Ministry of Education ,Education,287,287,Miscellaneous Receipts,Non-Tax Revenue,No Functional Classification,350,2013,Estimated Actual,A
Ministry of Education ,Education,287,287,Miscellaneous Receipts,Non-Tax Revenue,No Functional Classification,350,2014,Main Estimates,A
Ministry of Education ,Education,288,288,Overseas Students' Fees,Non-Tax Revenue,No Functional Classification,6116,2009,Actuals,A
Ministry of Education ,Education,288,288,Overseas Students' Fees,Non-Tax Revenue,No Functional Classification,6102,2010,Actuals,A
Ministry of Education ,Education,288,288,Overseas Students' Fees,Non-Tax Revenue,No Functional Classification,3536,2011,Actuals,A
Ministry of Education ,Education,288,288,Overseas Students' Fees,Non-Tax Revenue,No Functional Classification,3509,2012,Actuals,A
Ministry of Education ,Education,288,288,Overseas Students' Fees,Non-Tax Revenue,No Functional Classification,3757,2013,Estimated Actual,A
Ministry of Education ,Education,288,288,Overseas Students' Fees,Non-Tax Revenue,No Functional Classification,3757,2014,Main Estimates,A
Ministry of Education ,Education,289,289,Payroll Receipts,Non-Tax Revenue,No Functional Classification,25,2013,Estimated Actual,A
Ministry of Education ,Education,289,289,Payroll Receipts,Non-Tax Revenue,No Functional Classification,25,2014,Main Estimates,A
Ministry of Education ,Education,290,290,Roll Audit and Staffing Recoveries,Non-Tax Revenue,No Functional Classification,421,2009,Actuals,A
Ministry of Education ,Education,290,290,Roll Audit and Staffing Recoveries,Non-Tax Revenue,No Functional Classification,1101,2010,Actuals,A
Ministry of Education ,Education,290,290,Roll Audit and Staffing Recoveries,Non-Tax Revenue,No Functional Classification,57,2011,Actuals,A
Ministry of Education ,Education,290,290,Roll Audit and Staffing Recoveries,Non-Tax Revenue,No Functional Classification,110,2013,Estimated Actual,A
Ministry of Education ,Education,290,290,Roll Audit and Staffing Recoveries,Non-Tax Revenue,No Functional Classification,110,2014,Main Estimates,A
Ministry of Education ,Education,3321,3321,Crown Entity Recoveries,Non-Tax Revenue,No Functional Classification,9979,2009,Actuals,A
